zip code tabulation area,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,GEO_ID,B01003_001E,B19101C_001E,B19101C_001M,B19101C_002E,B19101C_002M,B19101C_003E,B19101C_003M,B19101C_004E,B19101C_004M,B19101C_005E,B19101C_005M,B19101C_006E,B19101C_006M,B19101C_007E,B19101C_007M,B19101C_008E,B19101C_008M,B19101C_009E,B19101C_009M,B19101C_010E,B19101C_010M,B19101C_011E,B19101C_011M,B19101C_012E,B19101C_012M,B19101C_013E,B19101C_013M,B19101C_014E,B19101C_014M,B19101C_015E,B19101C_015M,B19101C_016E,B19101C_016M,B19101C_017E,B19101C_017M,B19083_001E,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M
93930,ZCTA5 93930,17124,842,4025,839,19,23,453,290,172,185,0,21,10258,1078,2197,703,1813,683,384,336,860Z200US93930,17124,125,88,0,21,0,21,0,21,0,21,0,21,0,21,29,34,0,21,0,21,8,15,0,21,0,21,46,57,5,8,37,53,0,21,0.3949,4383,481,2334,359,2049,293
93283,ZCTA5 93283,2129,580,1831,551,0,14,53,50,0,14,0,14,102,165,143,126,115,132,28,32,860Z200US93283,2129,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.5074,992,247,814,244,178,102
90270,ZCTA5 90270,24522,118,4666,706,218,244,780,351,194,133,14,15,11308,1194,7342,1148,7260,1152,82,68,860Z200US90270,24522,169,79,0,25,0,25,0,25,23,26,25,39,19,21,16,25,13,20,0,25,0,25,34,46,0,25,0,25,20,32,0,25,19,37,0.4014,6341,265,1900,265,4441,285
95966,ZCTA5 95966,29335,1594,20781,1390,624,251,644,156,1636,444,87,84,1348,539,4215,826,2283,618,1932,522,860Z200US95966,29335,191,63,3,8,9,13,0,25,2,3,3,5,2,3,4,6,0,25,14,22,1,3,7,7,77,48,6,6,20,18,39,45,4,8,0.4635,11593,613,8657,575,2936,408
93257,ZCTA5 93257,79340,1677,28717,2256,582,249,2257,546,2072,521,427,227,27118,2599,18167,2487,15739,2385,2428,538,860Z200US93257,79340,482,138,14,16,8,9,16,14,34,31,11,16,36,43,29,42,44,27,12,11,39,34,30,26,67,60,59,44,22,16,33,27,28,24,0.4275,23743,791,13165,787,10578,879
93285,ZCTA5 93285,2415,465,1969,393,0,14,10,15,0,14,0,14,301,208,135,117,107,112,28,32,860Z200US93285,2415,10,15,10,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.5090,1357,213,993,198,364,162
92113,ZCTA5 92113,49047,2412,17332,2534,5014,900,1246,469,1759,481,77,102,15734,1920,7885,1379,6239,1073,1646,786,860Z200US92113,49047,225,99,0,29,47,50,0,29,0,29,53,47,0,29,0,29,0,29,0,29,0,29,0,29,3,6,27,36,41,43,34,25,20,29,0.4349,13575,535,3902,353,9673,574
93434,ZCTA5 93434,8451,53,2225,517,2,15,319,246,230,136,0,19,2322,680,3353,734,3124,735,229,211,860Z200US93434,8451,53,40,0,19,0,19,18,28,18,31,0,19,0,19,0,19,0,19,0,19,17,27,0,19,0,19,0,19,0,19,0,19,0,19,0.4516,2153,173,1224,196,929,160
93620,ZCTA5 93620,10173,620,3668,774,160,127,125,138,253,186,0,21,4213,924,1754,557,709,304,1045,522,860Z200US93620,10173,57,63,20,34,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,53,0,21,0,21,0,21,0,21,0,21,0,21,0.4783,3376,246,1685,296,1691,252
95379,ZCTA5 95379,3821,898,3223,881,61,70,270,156,3,10,10,20,112,86,142,93,70,67,72,70,860Z200US95379,3821,113,74,1,3,0,14,2,5,3,5,1,2,0,14,7,10,0,14,0,14,1,2,19,36,37,40,10,14,0,14,6,12,26,35,0.3466,1503,302,1252,292,251,181
96094,ZCTA5 96094,6674,439,4967,405,276,127,105,51,262,115,6,12,493,261,565,224,230,127,335,157,860Z200US96094,6674,23,17,0,19,0,19,0,19,5,7,0,19,4,6,0,19,0,19,0,19,0,19,2,4,0,19,12,14,0,19,0,19,0,19,0.4964,2760,215,1924,192,836,137
90001,ZCTA5 90001,56403,2919,10954,1754,4183,596,1481,524,306,143,38,41,23003,2139,16438,1705,15650,1705,788,341,860Z200US90001,56403,267,90,0,32,9,15,0,32,0,32,20,33,14,20,0,32,0,32,0,32,17,27,37,35,40,24,24,24,19,21,57,46,30,34,0.4160,13416,568,4775,463,8641,554
90263,ZCTA5 90263,1895,188,984,225,186,75,0,14,473,113,0,14,74,48,178,59,82,50,96,72,860Z200US90263,1895,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,-666666666.0000,0,14,0,14,0,14
96088,ZCTA5 96088,4552,569,3810,564,0,14,73,59,14,20,22,31,150,109,483,168,111,74,372,156,860Z200US96088,4552,6,10,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6,10,0,14,0,14,0.4214,2199,292,1961,294,238,110
95327,ZCTA5 95327,8799,764,6123,678,598,138,284,238,104,46,73,42,500,165,1117,317,831,310,286,123,860Z200US95327,8799,16,27,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,16,27,0.4630,2985,388,1946,332,1039,356
93516,ZCTA5 93516,2742,509,1448,359,130,139,123,87,150,109,8,12,343,231,540,394,218,202,322,347,860Z200US93516,2742,22,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,5,8,17,25,0,14,0,14,0,14,0.4466,1022,240,601,180,421,179
95912,ZCTA5 95912,5048,495,2648,535,0,19,41,48,11,18,0,19,1284,455,1064,419,748,419,316,197,860Z200US95912,5048,13,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,13,21,0,19,0.4546,1543,351,1054,369,489,190
93618,ZCTA5 93618,32223,1286,12751,1600,83,60,281,147,293,132,0,29,11999,1467,6816,1216,6237,1181,579,296,860Z200US93618,32223,63,44,0,29,20,35,5,7,0,29,0,29,3,5,0,29,0,29,0,29,0,29,4,7,0,29,12,13,8,13,11,18,0,29,0.4519,8604,391,5168,475,3436,379
93960,ZCTA5 93960,25736,604,4945,945,1784,284,280,185,778,295,84,48,15275,1192,2590,617,2331,618,259,149,860Z200US93960,25736,37,41,0,25,0,25,0,25,0,25,0,25,0,25,16,25,0,25,0,25,21,34,0,25,0,25,0,25,0,25,0,25,0,25,0.4017,4849,264,2871,331,1978,323
96055,ZCTA5 96055,3404,660,2447,555,0,14,4,7,43,66,0,14,277,238,633,337,505,323,128,63,860Z200US96055,3404,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.5102,1447,193,974,139,473,149
95388,ZCTA5 95388,13005,1294,2958,577,201,185,120,76,298,165,2,8,8184,1306,1242,544,1102,525,140,105,860Z200US95388,13005,31,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,19,1,3,0,21,0,21,18,20,0.4202,3720,338,2022,325,1698,329
96021,ZCTA5 96021,15076,985,8308,996,18,36,35,50,455,222,11,18,3184,941,3065,849,2823,828,242,115,860Z200US96021,15076,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0.4037,5219,378,3422,317,1797,334
95485,ZCTA5 95485,2900,512,2179,506,23,24,91,55,29,52,0,14,109,130,469,235,277,195,192,129,860Z200US95485,2900,10,11,0,14,0,14,1,3,0,14,0,14,2,4,3,5,0,14,0,14,0,14,0,14,1,4,0,14,0,14,0,14,3,7,0.4470,1203,213,879,200,324,126
92173,ZCTA5 92173,26507,1865,7296,1225,438,246,338,191,659,317,162,178,7073,1084,10541,1649,10322,1663,219,100,860Z200US92173,26507,65,42,0,25,0,25,0,25,0,25,13,21,10,15,0,25,0,25,4,7,0,25,8,14,14,21,0,25,7,11,0,25,9,13,0.4684,7735,552,2733,302,5002,495
92539,ZCTA5 92539,3480,1122,2006,487,6,10,127,143,439,318,0,14,359,383,543,535,488,534,55,63,860Z200US92539,3480,29,29,13,20,2,4,0,14,0,14,0,14,0,14,0,14,6,10,7,17,0,14,0,14,1,4,0,14,0,14,0,14,0,14,0.4629,1258,275,1018,255,240,138
